name,image,ingredients,calories,fat,carbs,protein
Cajun Chicken Pasta,https://www.edamam.com/web-img/4e7/4e716e1466e09e3232dc7f3641e146ca.jpg,"3 whole Boneless, Skinless Chicken Breasts, Cut Into Cubes|3 teaspoons Cajun Spice Mix, More To Taste|1 pound Fettuccine|2 Tablespoons Olive Oil|2 Tablespoons Butter|1 whole Green Bell Pepper, Seeded And Sliced|1 whole Red Bell Pepper, Seeded And Sliced|1/2 whole Large Red Onion, Sliced|3 cloves Garlic, Minced|4 whole Roma Tomatoes, Diced|2 cups Low Sodium Chicken Broth|1/2 cup White Wine|1 cup Heavy Cream|Cayenne Pepper To Taste|Freshly Ground Black Pepper, To Taste|Salt To Taste|Chopped Fresh Parsley, To Taste",713.833627023202,28.513826654113775,65.90432036549991,44.21249901370502
Creamy Cajun Chicken Pasta,https://www.edamam.com/web-img/9f0/9f01fe55283cc9d04c78173846e571df.JPG,"8 ounces whole-wheat fusilli or rotini|1 tablespoon canola oil|2 slices bacon, chopped|1 large sweet onion, halved and thinly sliced|1 pound boneless, skinless chicken breast, trimmed and cut into 1-inch pieces|1 medium green bell pepper, sliced|3 cloves garlic, minced|4 teaspoons cajun seasoning (see tip)|1/2 teaspoon freshly ground pepper|1 tablespoon all-purpose flour|1 28-ounce can crushed tomatoes|1/3 cup reduced-fat sour cream|1/2 cup sliced scallions for garnish",394.0307640361111,11.08589251675,47.31246743481946,27.29574474327778
Cajun Chicken Pasta,https://www.edamam.com/web-img/7a1/7a1a253fa2b05a5d76cd9fce1117c365.jpg,"12 ounces uncooked linguine|2 pounds chicken breast strips|1 tablespoon Cajun seasoning|1 1/4 teaspoons salt, divided|1/4 cup butter|1 small red bell pepper, thinly sliced*|1 small green bell pepper, thinly sliced*|1 (8-oz.) package fresh mushrooms|2 green onions (white and light green parts only), sliced*|1 1/2 cups half-and-half|1/4 teaspoon lemon pepper|1/4 teaspoon dried basil|1/4 teaspoon garlic powder|Garnish: chopped green onions",954.20298325625,44.59252226731251,72.7885725350625,63.582073548125
Cajun Chicken Pasta,https://www.edamam.com/web-img/e9d/e9de5975ebd59f6668b62dfa199313bb.jpeg,"1 pound fettuccine|About 3 teaspoons Cajun spice mix|3 whole boneless, skinless chicken breasts, cut into cubes|2 tablespoons butter|2 tablespoons olive oil|3 cloves garlic, minced|1 whole green bell pepper, seeded and sliced|1 whole red bell pepper, seeded and sliced|1/2 large red onion, sliced|Salt|4 whole Roma tomatoes, diced|2 cups low-sodium chicken broth|1/2 cup white wine|1 cup heavy cream|Cayenne pepper, for sprinkling|Freshly ground black pepper|Chopped fresh parsley, for garnish",711.9837280595352,28.477317700871737,65.56672295310379,44.07150189347335
Copycat Chili's Cajun Chicken Pasta,https://www.edamam.com/web-img/ca8/ca8606c5ba00b59fafa2626ed5bed045.jpg,"1/2 box penne pasta|2 boneless, skinless chicken breasts (thin cut)|1 tbsp. Cajun seasoning|3 tbsp. butter|1 pt. half and half|1/2 tsp. garlic powder|1/4 tsp. salt|1/4 tsp. Pepper|1/3 c. plus 3 tbsp. grated Parmesan|1 diced tomato|1 tsp. sliced flat-leaf parsley",695.1959569444504,32.295070361111236,50.2838677638899,49.24773631944492
Taco Stuffed Shells,https://www.edamam.com/web-img/459/45998d53bc453a4af4f802eabb2acaee.jpg,"1 tablespoon oil|1 onion, diced|2 cloves garlic|1 pound ground beef|1-2 tablespoons taco seasoning|1 cup tomato puree|1 cup corn|1 cup black beans|4 ounces goat cheese or cream cheese|hot sauce to taste|salt and pepper to taste|1 cup salsa|1 pound large pasta shells, cooked|1 tablespoon butter, melted|1/2 cup panko bread crumbs|1 cup cheese, shredded",1244.8459084189815,48.091507233004606,142.42224120128662,61.44948884233774
San Antonio-Style Puffy Tacos With Ground Beef Filling Recipe,https://www.edamam.com/web-img/225/22506aa8350f82b234e85b07851b1216.jpg,"For the Shells:|1 pound fresh masa for tortillas or 1 1/2 cups of masa harina mixed with 1 cup warm water and left to rest, covered, for 15 minutes (see note above)|Peanut or canola oil, for frying|Kosher salt|For the Filling:|2 tablespoons canola or vegetable oil|1 cup finely chopped white onion (about 1 medium onion)|3 tablespoons finely chopped seeded fresh jalapeños (about 2 medium peppers)|1 tablespoon freshly minced garlic (about 3 medium cloves)|2 tablespoons chili powder|1 tablespoon Mexican oregano|1 tablespoon ground cumin|1 teaspoon ground coriander|1/2 teaspoon chipotle powder|2 pounds ground beef chuck|1 cup homemade or store-bought low-sodium chicken stock|1 cup finely chopped fire-roasted tomatoes from 1 (15-ounce) can|1/4 cup finely chopped fresh cilantro leaves and tender stems|1 tablespoon fresh juice from 1 lime|For Serving:|1/2 head iceberg lettuce, shredded|6 ounces grated Longhorn cheddar, mild cheddar, or Monterey Jack cheese|1 small white onion, finely diced|2 Roma tomatoes, seeded and finely diced|Sour cream, for serving",679.8700841790745,24.594567292373963,70.45461652629463,49.274391476080716
Smoked Gouda and Pork Taco Filling,https://www.edamam.com/web-img/d2e/d2eac1ab8cd632a81ea01af0a0f1dba5.jpg,1 tbsp. olive oil|½ lb. ground pork|1 can whole tomatoes|1 tsp. minced garlic|½ tsp. salt|¼ tsp. cumin seed|¼ tsp. coriander seed|¼ tsp. ground chipotle pepper|1 recipe Mini Taco Shells|1¼ c. smoked Gouda,215.8324110916667,17.00941651691667,3.1864250000000003,12.434181421333335
Goat Cheese and Chicken Taco Filling,https://www.edamam.com/web-img/73c/73c1925afc7416ce343adeb1fba01886.jpg,"1 tbsp. olive oil|1 large boneless, skinless chicken breast|¾ tsp. coarse-ground salt|½ tsp. ground chipotle pepper|1 large jalapeño pepper|1 small yellow onion|1 tbsp. lime juice|2 tbsp. coarsely chopped cilantro|2 oz. goat cheese|1 recipe Mini Taco Shells",194.06899552498376,9.326642237374955,4.343864999994519,22.239403341374725
Tuna Tostadas With Chile Mayonnaise,https://www.edamam.com/web-img/a85/a85497406b83654735f0981c77c533b0.jpeg,"3/4 cup mayonnaise|Juice of 1 lime, plus wedges for serving|3/4 to 1/2 teaspoon chipotle chile powder|8 tostadas (flat crisp tortillas) or taco shells|3/4 cup golden raisins|1/2 cup pimiento-stuffed olives, halved, plus 1 tablespoon brine from the jar|1 clove garlic, lightly smashed|2 bay leaves|1 12-ounce container pico de gallo or fresh salsa (1 1/2 to 1 3/4 cups)|3 5-ounce cans solid white tuna packed in water, drained|1 cup lightly packed fresh parsley, chopped (about 1 small bunch)|1 small head romaine lettuce, thinly sliced",673.5528370786698,42.3993328325,53.86984875016494,25.276747358125
