name,image,ingredients,calories,fat,carbs,protein
apple_pie,https://www.edamam.com/web-img/0e2/0e29c6c3bc052d822d960915b54a3bc1.jpg,Apple|Liqueur|Cider|Apple cider,288.8,0.4784,52.36,0.3
baby_back_ribs,https://www.edamam.com/web-img/42f/42f91a20363a59a82f7736bcab43863b.jpg,Pork ribs|Barbecue sauce,639.028318,46.3094187631,0.9479025,54.0816055994
baklava,https://www.edamam.com/web-img/b34/b344b9ecc1a2ce44d7c7a816bdf84fa8.jpg,Vanilla|Dough|Filo|Water|Honey|Vanilla extract|Sugar|Pecan|Walnut|Butter,497.2776875,29.166988125,58.4319,6.447419375
beef_carpaccio,https://www.edamam.com/web-img/8bf/8bff5a383a0106eafe98e85252a679d9.jpg,Milk|Beef|Juice|Fillet (cut)|Mayonnaise|Lemon|Salt|Worcestershire sauce|Black pepper,483.890383939,42.7144872723,0.6371822917,22.6753422113
beef_tartare,https://www.edamam.com/web-img/b6a/b6a44cb7cc3777e86d7fae0123da9814.jpg,Beef tenderloin|Beef|Black pepper|Salt|Shallot|Olive oil|Parmigiano-Reggiano|Hot sauce|Parsnip|Parsley|Olive|Mustard (condiment)|Canola oil|Celery|Chives|Oil,1694.6580179513,141.728728122,45.4558145952,62.9891211895
beet_salad,https://www.edamam.com/web-img/37a/37a20e6fab073980ce60e43842d37618.jpg,Balsamic vinegar|Black pepper|Goat cheese|Cheese|Beta vulgaris|Walnut|Vinegar,169.4068770653,12.9893388399,9.5591422663,5.3980573488
beignets,https://www.edamam.com/web-img/254/254a3b761d1bd1fc07bc727f23138672.jpg,Flour|Water|Powdered sugar|Baker's yeast|Oil|Vegetable oil|Vegetable|Salt|Sea salt|Butter|Sugar|Peanut|Peanut oil|Milk,290.0993447091,6.4947096413,49.5532914909,7.6598191893
bibimbap,https://www.edamam.com/web-img/6da/6da8fdbf0747c22ad6054e2749ef4b51.jpg,Zucchini|Chili pepper|Mung bean|Sprouting|Hot sauce|Sushi|Rice|Sesame|Seed|Edamame|Potato|Scallion|Bean|Safflower|Oil|Cooking spray|Sesame oil|Carrot|Sweet potato|Ginger|Garlic|Sriracha sauce,247.7809937025,5.3911202203,40.2607417925,10.2346661168
bread_pudding,https://www.edamam.com/web-img/2c5/2c5b9efa45e33c34d0f9d573cb74955f.jpg,Fruit|Milk|Sugar|Brown sugar|Whole wheat bread|Whole grain|Bread|Egg as food|Zest (ingredient)|Muscovado|Spice|Dried fruit|Butter|Peel (fruit)|Lemon,287.4011834637,8.1894878126,49.8267262526,6.5748623992
breakfast_burrito,https://www.edamam.com/web-img/441/4414a00d2da9e0c6737ecf1546d5d5fe.jpg,Salt|Egg white|Egg as food|Tortilla|Cheese|Olive|Olive oil|Black pepper|Flour|Wheat tortilla|Oil,400.01,18.62395,36.118,22.4727
