name,image,ingredients,calories,fat,carbs,protein
Hot Apple Pie,https://www.edamam.com/web-img/0e2/0e29c6c3bc052d822d960915b54a3bc1.jpg,1 shot tuaca liqueur|1 cup hot apple cider,288.8,0.4784,52.36,0.3
Baby Back Ribs,https://www.edamam.com/web-img/42f/42f91a20363a59a82f7736bcab43863b.jpg,"2 racks baby back ribs (about 2 1/2 pounds)|1 recipe bourbon barbecue sauce, recipe follows",639.028318,46.3094187631,0.9479025,54.0816055994
Baklava,https://www.edamam.com/web-img/b34/b344b9ecc1a2ce44d7c7a816bdf84fa8.jpg,"1 package Phyllo Dough|4 cups Chopped Walnuts Or Pecans|1-1/2 stick Butter, Melted|2 cups Honey|1/2 cup Water|1/2 cup Sugar|3 teaspoons Vanilla Extract",497.2776875,29.166988125,58.4319,6.447419375
Beef Carpaccio,https://www.edamam.com/web-img/8bf/8bff5a383a0106eafe98e85252a679d9.jpg,"1 1/2 lb. well-trimmed boned shell of beef or _x000d_
  beef fillet|3/4 cup high-quality mayonnaise|1 to 2 tsp. Worcestershire sauce, plus more, _x000d_
  to taste|1 tsp. fresh lemon juice, plus more, to taste|2 to 3 Tbs. milk|Salt and freshly ground white pepper, to taste",483.890383939,42.7144872723,0.6371822917,22.6753422113
Beef Tartare,https://www.edamam.com/web-img/b6a/b6a44cb7cc3777e86d7fae0123da9814.jpg,"2 pounds/1kg beef tenderloin|1 cup/250ml cubed parmigiano-reggiano|1/4 cup/60ml garlic-stuffed olives, halved|3 tablespoons/45ml olive oil|1 tablespoon/15ml dijon mustard|2 shallots, diced|A handful celery leaves|A handful fresh chives, finely chopped|A handful fresh parsley, chopped|Green hot sauce, such as tabasco|Salt and freshly ground black pepper|Canola oil, for frying|6 parsnips, peeled and julienned|Smoked salt|Freshly ground black pepper",1694.6580179513,141.728728122,45.4558145952,62.9891211895
Beet Salad,https://www.edamam.com/web-img/37a/37a20e6fab073980ce60e43842d37618.jpg,"4 medium red or golden beets (4 ounces each), stems and root ends removed|1/3 cup walnuts, chopped|1 tablespoon balsamic vinegar|Freshly ground black pepper|1 tablespoon sunflower-seed oil|2 ounces lowfat goat cheese",169.4068770653,12.9893388399,9.5591422663,5.3980573488
Beignets,https://www.edamam.com/web-img/254/254a3b761d1bd1fc07bc727f23138672.jpg,"1 package (2 1/2 teaspoons) active dry yeast|1/4 cup warm 110°F (43°C) water|4 1/2 cups all-purpose flour|3 tablespoons granulated sugar, or more to taste|3/4 teaspoon fine sea salt|1 cup whole milk|4 tablespoons (2 ounces) unsalted butter|1 large egg|Peanut oil or mild vegetable oil, for deep-frying|Confectioners’ sugar, for dusting",290.0993447091,6.4947096413,49.5532914909,7.6598191893
Bibimbap,https://www.edamam.com/web-img/6da/6da8fdbf0747c22ad6054e2749ef4b51.jpg,"1 cup sushi rice|1 medium sweet potato, cut into fry shapes|about 6 small potatoes (like Yukon gold), quartered|1 large carrot, cut into matchsticks|1 zucchini, cut into matchsticks|1 cup mung bean sprouts|5 scallions, sliced|3/4 cup frozen edamame beans, shelled and defrosted|2 tablespoons toasted sesame seeds|3/4 pound shrimp, cleaned and de-veined|1 tablespoon grated fresh ginger|1 tablespoon grated garlic|1 tablespoon sesame oil|1 teaspoon hot sauce (like Sriracha, or other Asian chili)|1-2 tablespoons safflower oil, or cooking spray",247.7809937025,5.3911202203,40.2607417925,10.2346661168
Bread Pudding,https://www.edamam.com/web-img/2c5/2c5b9efa45e33c34d0f9d573cb74955f.jpg,"2.0 tbsp demerara sugar|1 ½ tbsp mixed spice|140.0g light muscovado sugar|100.0g butter , melted|zest 1 lemon (optional)|85.0g mixed peel|500.0g white or wholemeal bread|600.0ml milk|2 large eggs , beaten|500 g mixed dried fruit",287.4011834637,8.1894878126,49.8267262526,6.5748623992
Breakfast Burrito,https://www.edamam.com/web-img/441/4414a00d2da9e0c6737ecf1546d5d5fe.jpg,"4 flour tortillas (8-inch)|3 large eggs|4 large egg whites|3/4 teaspoon coarse salt|1 teaspoon olive oil|1 cup shredded pepper jack cheese|1 cup garlic-pepper sauce, thawed and drained, if necessary",400.01,18.62395,36.118,22.4727
